张艳,主任医师,神经内科诊室,哈尔滨医科大学附属第一医院,10.0,擅长：脑血管病、周围神经病变、帕金森病和老年性痴呆。,￥60,暂无排班
亢园园,主治医师,门诊高血压,上海交通大学医学院附属瑞金医院,10.0,擅长：高血压病因筛查，高血压优化治疗，继发性高血压的诊...,￥100,未开通
陈海敏,主治医师,心内科,广东省人民医院,9.9,擅长：心内科方面的常见疾病。,￥30,未开通
杨鹏飞,副主任医师,感染病科,哈尔滨医科大学附属第二医院,10.0,擅长：肝炎，肝硬化，肝癌，新型冠状病毒肺炎出血热，腹...,￥39,￥58
颜炳柱,主任医师,感染病科,哈尔滨医科大学附属第二医院,10.0,擅长：各种肝病；艾滋病的阻断与暴露；狂犬病的阻断与暴露...,￥40,￥100
石治宇,主治医师,心血管内科诊室,哈尔滨医科大学附属第一医院,10.0,擅长：心血管内科诊室类常见疾病,￥10,未开通
翟光耀,副主任医师,心内科,首都医科大学附属北京安贞医院,,擅长：复杂冠心病的微创介入手术(修复血管而无支架植入)...,￥300,暂无排班
朱记法,副主任医师,心血管内科(河医院区),郑州大学第一附属医院,,擅长：冠心病、心律失常、先心病等介入治疗，高血压、心力...,￥30,暂无排班
罗萍艳,主治医师,内分泌科,贵州医科大学附属医院,10.0,擅长：内分泌，糖尿病，肥胖，口腔溃疡，焦虑，减肥，甲亢...,￥20,￥39
王飞,副主任医师,心血管内科,东莞市滨海湾中心医院,10.0,擅长：高血压病（头痛、头晕、眼花）、心律失常（心房颤动...,￥50,暂无排班
王燕燕,副主任医师,感染科,南昌市第三医院,10.0,擅长：感染科常见疾病，多发病的诊治，丙肝，乙肝，脂肪...,￥15,￥50
沈雳,主任医师,心内科高级专家门诊,复旦大学附属中山医院,9.9,擅长：心绞痛诊疗，冠心病介入治疗、顽固性高血压的治疗...,￥688,未开通
何汝敏,主任医师,门诊心脏,上海交通大学医学院附属瑞金医院,9.8,擅长：心血管系统各种危重疾病与疑难病例，包括冠心病，心...,￥180,￥300
黄铁群,主任医师,呼吸病门诊,中日友好医院,10.0,擅长：呼吸系统常见病、疑难病和危重病的诊断治疗如肺炎支...,￥260,￥300
李航,主任医师,肾内科,北京协和医院,10.0,擅长：慢性肾炎，IgA肾病，膜性肾病，狼疮性肾炎，糖尿...,￥400,暂无排班
崔乐,主治医师,变态反应科,北京协和医院,10.0,擅长：过敏性鼻炎、咳嗽、哮喘、荨麻疹、湿疹、皮肤过敏、...,￥100,￥150
吴媛媛,副主任医师,过敏反应科,华中科技大学同济医学院附属同济医院,9.8,擅长：产前遗传咨询及产前诊断、复发性流产、高危妊娠的临...,￥80,暂无排班
方跃华,主任医师,门诊心脏,上海交通大学医学院附属瑞金医院,10.0,擅长：心衰心肌病、心脏瓣膜病、肿瘤治疗后心脏损伤的诊治,未开通,￥800
徐迎阳,住院医师,变态反应科,北京协和医院,10.0,擅长：过敏性鼻炎，哮喘，荨麻疹，湿疹，接触性皮炎。,未开通,暂无排班
张朝香,主任医师,心内科,首都医科大学附属北京安贞医院,10.0,擅长：冠心病、心律失常、心肌炎、心肌病、心力衰竭、高血...,￥100,￥200
石亮亮,副主任医师,消化内科,南京鼓楼医院,10.0,擅长：常见消化道疾病的诊断治疗，胃食管反流病，反流性食...,￥25,未开通
陈伟光,副主任医师,消化内科,北京协和医院,9.9,擅长：胃食管反流病、反流性食管炎、胃肠功能性疾病（如肠...,未开通,未开通
陈芳,主任医师,呼吸与危重症医学科,宁夏医科大学总医院,10.0,擅长：支气管哮喘、肺癌、COPD、肺栓塞、肺部感染等诊...,￥30,暂无排班
徐昶,副主任医师,心血管内科,华中科技大学同济医学院附属同济医院,10.0,擅长：冠心病、主动脉夹层及外周动脉血管疾病的诊断和介...,￥38,未开通
李红,主任医师,心内科,首都医科大学附属北京安贞医院,10.0,擅长：高血压、冠心病、心力衰竭长期治疗，心血管急危重症...,￥150,未开通
柳叶,主治医师,神经内科,复旦大学附属华山医院,10.0,擅长：脑血管病方向（脑梗死，脑出血，腔梗，脑小血管病）,￥70,未开通
罗庆志,主治医师,心血管内科,上海交通大学医学院附属瑞金医院,10.0,擅长：室上速，早搏，房扑房颤等快速型心律失常消融治疗，...,￥50,未开通
李敏,主任医师,心内科,首都医科大学附属北京安贞医院,10.0,擅长：心内科类常见疾病，冠心病，心律失常，房颤，房早，...,￥200,￥300
王明华,副主任医师,感染门诊,复旦大学附属华山医院,10.0,擅长：常见感染科相关疾病诊治，包括各类细菌、真菌性感染...,￥69,未开通
刘强,副主任医师,肾内科,中国医科大学附属第一医院,10.0,擅长：IgA肾病，膜性肾病，糖尿病肾病，痛风性肾病，高...,￥60,￥100
温华,副主任医师,呼吸内科,中国医科大学附属第一医院,10.0,擅长：急性上呼吸道感染、慢阻肺、支气管哮喘、支气管扩张...,￥60,未开通
张祥,副主任医师,神经内科,复旦大学附属华山医院,9.9,擅长：脱髓鞘疾病(视神经脊髓炎，多发性硬化，中枢神经系...,￥200,￥500
朱绍华,主治医师,消化内科,西京医院,10.0,擅长：本人专业消化内科，食管、胃及结直肠早期肿瘤的内镜...,￥30,￥60
徐晓刚,主任医师,感染门诊,复旦大学附属华山医院,9.9,擅长：肺炎、尿路感染、脑膜炎等常见感染性疾病的诊断及治...,￥198,未开通
任治秀,副主任医师,呼吸科,四川大学华西医院,9.8,擅长：呼吸系统常见疾病以及多发病，尤其是对慢性阻塞性肺...,￥90,暂无排班
刘子龙,主治医师,呼吸内科,复旦大学附属中山医院,9.9,擅长：呼吸系统疾病的诊治，特别是慢性气道疾病、呼吸危重...,￥200,暂无排班
杨虹波,副主任医师,心内科,复旦大学附属中山医院,10.0,擅长：冠心病介入治疗，心血管影像学及功能生理学评估,￥199,未开通
钱云,主任医师,老年医学科门诊,江苏省人民医院,10.0,擅长：神经内科、老年科常见病多发病诊治,￥100,￥300
陈浩,主治医师,过敏反应科,华中科技大学同济医学院附属同济医院,10.0,擅长：过敏性鼻炎、哮喘、过敏性结膜炎、荨麻疹/血管性水...,￥30,暂无排班
谢万灼,主任医师,血液病科,浙江大学医学院附属第一医院,10.0,擅长：血液病科常见疾病,￥50,暂无排班
胡秀芬,主任医师,儿童心血管风湿免疫科,华中科技大学同济医学院附属同济医院,9.8,擅长：儿科心血管疾病、风湿免疫性疾病、发热性疾病、呼吸...,￥80,￥100
朱彤莹,主任医师,肾内科,复旦大学附属华山医院,8.7,擅长：腹膜透析及其并发症的诊治；各种原发及继发性肾小球...,￥120,￥200
冯高科,副主任医师,心血管内科,武汉大学人民医院,9.9,擅长：疾病诊治擅长：高血压病、冠心病、心衰、心律失常、...,￥59,￥79
冯思玮,主治医师,呼吸科,华中科技大学同济医学院附属协和医院,10.0,擅长：肺炎，肺结节，肺结核，肺气肿，肺大泡，肺癌，支气...,￥120,未开通
刘召军,主治医师,呼吸与危重症医学科,上海交通大学医学院附属瑞金医院,10.0,擅长：重症医学科的相关疾病，如多脏器衰竭、急性重症胰腺...,￥200,暂无排班
刘春南,主治医师,心血管内科,哈尔滨医科大学附属第一医院,10.0,擅长：高血压原因的筛查，冠心病心衰疾病的治疗,￥40,￥50
余献平,副主任医师,肾脏病,浙江大学医学院附属第一医院,9.9,擅长：各种原发和继发慢性肾小球肾炎（IgA肾病、膜性肾...,￥39,￥60
杨松,副主任医师,内分泌二科,泰安市中心医院,10.0,擅长：糖尿病及其急、慢性并发症、下丘脑垂体疾病、甲状腺...,￥0,￥50
